CustomerID,FirstName,LastName,PhoneNumber,Email,Age,Town,County,Region,SignupDate,CustomerSegment,MarketingOptIn
C00051,Paul,Ali,+254722260006,,35.0,Nakuru,Nakuru,Rift Valley,2022-02-24,Regular,yes
C00052,Stephen,Onyango,0745 958 217,stephen.onyango52@gmail.com,29.0,Westlands,Nairobi,Nairobi Metro,2022-11-01,Regular,Yes
C00053,Ibrahim,Wanjiru,254768164183,ibrahim.wanjiru53@gmail.com,24.0,Busia,Busia,Western,2024-01-13,Loyal,Yes
C00054,Akinyi,Muriithi,0710278329 ,akinyi.muriithi54@outlook.com,21.0,Murang'a,Murang'a,Central,2023-07-26,Regular,Yes
C00055,Halima,Mohamed,0790843197,halima.mohamed55@gmail.com,31.0,Kakamega,Kakamega,Western,2024-03-15,Loyal,No
C00056,Abdi  ,Auma,+254701462715,abdi.auma56@gmail.com,46.0,Bungoma,Bungoma,Western,2023-02-16,New,yes
C00057,Akinyi,Njuguna,0759 846 699,akinyi.njuguna57@outlook.com,54.0,Nakuru,Nakuru,Rift Valley,2024-06-11,Regular,No
C00058,Adhiambo,Rono,254759191163,adhiambo.rono58@gmail.com,25.0,Murang'a,Murang'a,Central,2024-02-28,New,No
C00059,Nyokabi,Otieno,0710729271 ,nyokabi.otieno59@gmail.com,40.0,Ruiru,Kiambu,Nairobi Metro,2025-03-29,New,yes
C00060,Kevin,Adhiambo,0768929430,kevin.adhiambo60@outlook.com,29.0,Ruiru,Kiambu,Nairobi Metro,2023-10-10,New,Yes
C00061,Moraa,Abdullahi,+254700726816,moraa.abdullahi61@gmail.com,46.0,Embu,Embu,Eastern,2023-11-13,Loyal,Yes
C00062,Dennis,Kones,0790 983 882,dennis.kones62@gmail.com,18.0,Thika,Kiambu,Nairobi Metro,2024-02-05,Loyal,No
C00063,Cherono,Rono,254722534552,cherono.rono63@outlook.com,33.0,Kilifi,Kilifi,Coast,2023-02-09,Loyal,Yes
C00064,Kelvin,Wekesa,0710510175 ,,31.0,Ol Kalou,Nyandarua,Central,2023-09-20,Regular,Yes
C00065,Njeri,Ali,0701871796,njeri.ali65@gmail.com,26.0,Narok,Narok,Rift Valley,2022-06-30,Regular,yes
C00066,Yusuf,Nyaga,+254701518316,yusuf.nyaga66@outlook.com,47.0,Mombasa,Mombasa,Coast,2024-03-04,Regular,Yes
C00067,Kerubo,Kamau,0700 795 014,kerubo.kamau67@gmail.com,32.0,Nakuru,Nakuru,Rift Valley,2022-02-14,Regular,Yes
C00068,Peter,Wekesa,254110779476,peter.wekesa68@gmail.com,32.0,Kilifi,Kilifi,Coast,2023-07-10,Regular,No
C00069,Kevin,Nyambura,0710502041 ,kevin.nyambura69@outlook.com,32.0,Nakuru,Nakuru,Rift Valley,2023-02-08,Loyal,Yes
C00070,Abdi,Cherono,0790642224,abdi.cherono70@gmail.com,30.0,Thika,Kiambu,Nairobi Metro,2023-01-26,VIP,No
C00071,Abdi,Adhiambo,+254701276829,abdi.adhiambo71@gmail.com,50.0,Murang'a,Murang'a,Central,2023-09-11,New,Yes
C00072,Kelvin,Kiptoo,0733 915 178,kelvin.kiptoo72@outlook.com,18.0,Kisii,Kisii,Nyanza,2022-07-27,New,Yes
C00073,Nafula,Kimani,254759415448,nafula.kimani73@gmail.com,39.0,Westlands,Nairobi,Nairobi Metro,2025-05-04,New,Y 
C00074,David,Wekesa,0110611731 ,david.wekesa74@gmail.com,25.0,Busia,Busia,Western,2023-10-02,Regular,No
C00075,Brian,Mwangi,0790927436,brian.mwangi75@outlook.com,28.0,Ol Kalou,Nyandarua,Central,2024-06-01,VIP,Yes
C00076,Nyokabi,Nyaga,+254733804975,nyokabi.nyaga76@gmail.com,50.0,Murang'a,Murang'a,Central,2024-05-14,Loyal,Yes
C00077,Daniel,Njuguna,0768 705 633,daniel.njuguna77@gmail.com,22.0,Mombasa,Mombasa,Coast,2023-08-12,VIP,No
C00078,Nafula,Njuguna,,nafula.njuguna78@outlook.com,32.0,Eldoret,Uasin Gishu,Rift Valley,2024-05-05,Regular,Yes
C00079,Wambui,Otieno,0759762960 ,wambui.otieno79@gmail.com,36.0,Nakuru,Nakuru,Rift Valley,2023-08-06,Regular,Yes
C00080,Zainab,Nyambura,0700778593,zainab.nyambura80@gmail.com,37.0,Thika,Kiambu,Nairobi Metro,2024-12-17,Regular,No
C00081,Faith,Kimani,+254768489950,faith.kimani81@outlook.com,31.0,Kakamega,Kakamega,Western,2022-10-27,New,No
C00082,Halima,Maina,0701 436 763,halima.maina82@gmail.com,34.0,Ukunda,Kwale,Coast,2024-06-13,Regular,y
C00083,David,Wekesa,254759375346,david.wekesa83@gmail.com,32.0,Kilifi,Kilifi,Coast,2022-05-19,Regular,No
C00084,Wairimu,Wekesa,0768130668 ,wairimu.wekesa84@outlook.com,25.0,Ukunda,Kwale,Coast,2024-05-06,Regular,Yes
C00085,Kevin  ,Barasa,0759787271,kevin.barasa85@gmail.com,21.0,Kisumu,Kisumu,Nyanza,2023-03-29,Regular,No
C00086,Wairimu,Kones,+254722172026,wairimu.kones86@gmail.com,,Thika,Kiambu,Nairobi Metro,2022-08-28,VIP,Yes
C00087,Brian,Gitau,0790 505 831,brian.gitau87@outlook.com,27.0,Nyeri,Nyeri,Central,2022-09-18,VIP,No
C00088,Dennis,Auma,254768955060,dennis.auma88@gmail.com,30.0,Busia,Busia,Western,2023-09-15,New,No
C00089,John,Nyambura,0722941099 ,john.nyambura89@gmail.com,39.0,Kilifi,Kilifi,Coast,2024-07-02,Regular,Yes
C00090,Samuel,Nyaga,0722595050,samuel.nyaga90@outlook.com,20.0,Nairobi CBD,Nairobi,Nairobi Metro,2024-07-24,New,Yes
C00091,David,Gitau,+254701979710,david.gitau91@gmail.com,45.0,Bungoma,Bungoma,Western,2022-04-02,New,Yes
C00092,Wanjiku,Abdullahi,0110 737 605,wanjiku.abdullahi92@gmail.com,60.0,Kericho,Kericho,Rift Valley,2024-02-03,New,No
C00093,Wanjiru,Wekesa,254768885904,wanjiru.wekesa93@outlook.com,36.0,Kisumu,Kisumu,Nyanza,2025-03-12,Regular,Yes
C00094,Paul,Wanjiru,0110297271 ,paul.wanjiru94@gmail.com,33.0,Ukunda,Kwale,Coast,2024-12-25,New,No
C00095,Njeri,Kones,0700485545,njeri.kones95@gmail.com,41.0,Ruiru,Kiambu,Nairobi Metro,2022-05-11,New,Y 
C00096,Achieng,Otieno,+254110177885,achieng.otieno96@outlook.com,35.0,Eldoret,Uasin Gishu,Rift Valley,2022-08-24,Loyal,yes
C00097,Njeri,Maina,0700 308 384,njeri.maina0@gmail.com,31.0,Kisii,Kisii,Nyanza,2024-03-14,New,No
C00098,Zainab,Wanjiru,254710835417,zainab.wanjiru1@gmail.com,29.0,BUSIA,Busia,Western,2024-08-24,Regular,Yes
C00099,Adhiambo,Rono,0745437505 ,adhiambo.rono2@outlook.com,32.0,Karen,Nairobi,Nairobi Metro,2025-03-03,New,no
C00100,Yusuf,Odhiambo,0701807894,yusuf.odhiambo3@gmail.com,21.0,Kisii,Kisii,Nyanza,2025-05-31,Regular,Yes
C00101,James,Barasa,+254722928651,james.barasa4@gmail.com,58.0,Mombasa,Mombasa,Coast,2025-01-11,VIP,yes
C00102,Wanjiru,Ali,0768 380 209,wanjiru.ali5@outlook.com,34.0,Ol Kalou,Nyandarua,Central,2025-03-25,Regular,Yes
C00103,Kevin,Nyambura,254759641685,kevin.nyambura6@gmail.com,32.0,Murang'a,Murang'a,Central,2022-09-17,Loyal,No
C00104,Wairimu,Barasa,0768385082 ,wairimu.barasa7@gmail.com,,Ol Kalou,nyandarua,Central,2025-07-14,Regular,Yes
C00105,James,Achieng,0700736368,james.achieng8@outlook.com,18.0,Karen,Nairobi,Nairobi Metro,2022-05-06,New,Yes
C00106,Grace,Onyango,+254701560129,grace.onyango9@gmail.com,-3.0,Bungoma,Bungoma,Western,2024-05-02,Regular,No
C00107,Michael  ,Maina,0701 387 832,michael.maina10@gmail.com,36.0,Eldoret,Uasin Gishu,Rift Valley,2025-05-18,New,No
C00108,Kerubo,Auma,254759661376,kerubo.auma11@outlook.com,25.0,Nakuru,Nakuru,Rift Valley,2025-03-06,Loyal,yes
C00109,Michael,Nyambura,0759991400 ,michael.nyambura12@gmail.com,18.0,Nakuru,Nakuru,Rift Valley,2024-11-29,New,yes
C00110,Grace,Wanjiru,0768977618,grace.wanjiru13@gmail.com,37.0,Ruiru,Kiambu,Nairobi Metro,2023-09-28,Regular,Y 
C00111,John,Muriithi,+254790754896,john.muriithi14@outlook.com,32.0,Ruiru,Kiambu,Nairobi Metro,2024-05-08,New,yes
C00112,George,Kimani,0745 443 329,george.kimani15@gmail.com,26.0,Nairobi CBD,Nairobi,Nairobi Metro,2024-08-07,Regular,No
C00113,Wairimu,Hassan,254700970580,wairimu.hassan16@gmail.com,42.0,Meru,Meru,Eastern,2022-08-14,Loyal,y
C00114,Abdi,Maina,0722873654 ,abdi.maina17@outlook.com,41.0,Narok,Narok,Rift Valley,2024-05-04,Regular,yes
C00115,Abdi,Kones,0700292414,abdi.kones18@gmail.com,18.0,Nyeri,Nyeri,Central,2024-07-24,Regular,Yes
C00116,Stephen  ,Kamau,+254768826528,stephen.kamau19@gmail.com,32.0,Meru,Meru,Eastern,2022-12-18,Regular,Yes
C00117,Dennis,Wanjiru,0733 160 662,,44.0,Murang'a,Murang'a,Central,2022-04-01,New, No
C00118,John,Kiptoo,254110966027,john.kiptoo21@gmail.com,30.0,Karen,Nairobi,Nairobi Metro,2022-03-22,VIP,No
C00119,Chebet,Muriithi,0733667808 ,chebet.muriithi22@gmail.com,22.0,Murang'a,Murang'a,Central,2022-08-20,VIP,No
C00120,Chebet,Kamau,,chebet.kamau23@outlook.com,44.0,Ol Kalou,Nyandarua,Central,2022-03-25,Regular,Yes
C00121,Amina,Mwenda,+254733201231,amina.mwenda24@gmail.com,31.0,Meru,Meru,Eastern,2023-01-13,New,No
C00122,Nyokabi,Mwangi,0110 227 681,nyokabi.mwangi25@gmail.com,31.0,Murang'a,Murang'a,Central,2024-08-06,New,YES
C00123,Abdi,Kiptoo,254700203277,abdi.kiptoo26@outlook.com,28.0,Embu,Embu,Eastern,2022-09-03,Regular,Y 
C00124,Samuel,Achieng,0768698129 ,samuel.achieng27@gmail.com,28.0,Kericho,Kericho,Rift Valley,2025-06-04,Regular,Yes
C00125,Zainab,Nyaga,0759469499,zainab.nyaga28@gmail.com,43.0,Kisii,Kisii,Nyanza,2025-03-21,New, No
C00126,David,Adhiambo,+254768454671,david.adhiambo29@outlook.com,33.0,Ukunda,Kwale,Coast,2023-08-28,Regular,No
C00127,Peter,Abdullahi,0710 350 523,peter.abdullahi30@gmail.com,18.0,Murang'a,Murang'a,Central,2022-05-03,New,y
C00128,Brian  ,Nyambura,254710963003,brian.nyambura31@gmail.com,35.0,Nairobi CBD,Nairobi,Nairobi Metro,2023-06-27,New,Yes
C00129,Anthony,Njuguna,0745192323 ,anthony.njuguna32@outlook.com,18.0,Machakos,Machakos,Eastern,2022-04-23,Regular,Yes
C00130,Daniel,Nyaga,0745829859,,18.0,Ukunda,Kwale,Coast,2024-11-19,Loyal,Yes
C00131,Anthony,Njoroge,+254790907676,anthony.njoroge34@gmail.com,39.0,Ruiru,Kiambu,Nairobi Metro,2023-12-06,Regular,Yes
C00132,John,Kones,0710 559 797,john.kones35@outlook.com,39.0,Ol Kalou,Nyandarua,Central,2024-11-22,New,No
C00133,Wambui,Maina,254701565409,wambui.maina36@gmail.com,52.0,Kakamega,Kakamega,Western,2024-08-08,New,Yes
C00134,Fatuma,Kamau,0768473417 ,fatuma.kamau37@gmail.com,24.0,Migori,Migori,Nyanza,2024-11-12,Loyal,n
C00135,Kerubo,Hussein,0745684340,kerubo.hussein38@outlook.com,59.0,Bungoma,Bungoma,Western,2024-07-23,Regular,Yes
C00136,James,Adhiambo,+254701356211,james.adhiambo39@gmail.com,44.0,Narok,Narok,Rift Valley,2025-05-02,Loyal,No
C00137,Dennis,Cherono,0110 191 388,dennis.cherono40@gmail.com,42.0,Machakos,Machakos,Eastern,2023-06-17,VIP,No
C00138,Grace,Auma,254701644441,grace.auma41@outlook.com,18.0,Nairobi CBD,Nairobi,Nairobi Metro,2023-06-26,New,Yes
C00139,Paul,Abdullahi,0768688103 ,paul.abdullahi42@gmail.com,53.0,Karen,Nairobi,Nairobi Metro,2023-12-15,New,NO
C00140,Wanjiru,Wekesa,0710840124,wanjiru.wekesa43@gmail.com,24.0,Ukunda,Kwale,Coast,2022-08-17,VIP,Yes
C00141,Paul,Nyaga,+254110460419,paul.nyaga44@outlook.com,49.0,Kericho,Kericho,Rift Valley,2022-01-08,Regular,No
C00142,Halima,Njuguna,0790 687 254,halima.njuguna45@gmail.com,34.0,Karen,Nairobi,Nairobi Metro,2024-09-01,Regular,Yes
C00143,Habiba,Odhiambo,254733422465,habiba.odhiambo46@gmail.com,18.0,Ukunda,Kwale,Coast,2025-03-09,New,Yes
C00144,Joseph  ,Onyango,0110232716 ,joseph.onyango47@outlook.com,22.0,Nyeri,Nyeri,Central,2022-09-27,Regular,Yes
C00145,Akinyi,Muriithi,0733960914,akinyi.muriithi48@gmail.com,25.0,Migori,Migori,Nyanza,2024-08-24,Loyal,No
C00146,Amina,Cherono,+254722513817,amina.cherono49@gmail.com,60.0,Busia,Busia,Western,2022-02-13,Loyal,No
C00147,George,Njuguna,0710 180 800,george.njuguna50@outlook.com,30.0,Kilifi,kilifi,Coast,2024-01-27,Loyal,Yes
C00148,Wambui,Njuguna,254710743970,wambui.njuguna51@gmail.com,28.0,Ol Kalou,Nyandarua,Central,2022-05-05,New,Y 
C00149,Joseph,Kimani,0745924215 ,joseph.kimani52@gmail.com,23.0,Kisumu,Kisumu,Nyanza,2024-02-08,Regular,Yes
C00150,Dennis,Kones,0733425801,dennis.kones53@outlook.com,36.0,Nairobi CBD,Nairobi,Nairobi Metro,2023-08-07,Loyal,Yes
C00151,Wambui,Mohamed,+254790766193,wambui.mohamed54@gmail.com,41.0,Machakos,Machakos,Eastern,2024-09-15,Regular,Yes
C00152,Samuel,Achieng,0768 892 148,samuel.achieng55@gmail.com,27.0,Karen,Nairobi,Nairobi Metro,2023-06-21,Regular,Yes
C00153,Kevin,Achieng,254700196745,kevin.achieng56@outlook.com,45.0,Kericho,Kericho,Rift Valley,2023-05-15,Regular,Yes
C00154,Collins,Wekesa,0768467285 ,collins.wekesa57@gmail.com,32.0,Meru,Meru,Eastern,2023-07-31,Regular,No
C00155,Wairimu,Kamau,0733128436,wairimu.kamau58@gmail.com,24.0,Nyeri,Nyeri,Central,2023-09-05,Loyal,Yes
C00156,Samuel,Odhiambo,+254700214652,samuel.odhiambo59@outlook.com,44.0,Embu,Embu,Eastern,2022-03-24,Loyal,No
C00157,John,Kimani,0701 356 251,john.kimani60@gmail.com,36.0,Karen,Nairobi,Nairobi Metro,2024-03-03,Regular,Yes
C00158,Wairimu,Mohamed,254710968635,wairimu.mohamed61@gmail.com,22.0,Nyeri,Nyeri,Central,2023-08-18,Loyal,Yes
C00159,George,Cherono,0700877226 ,george.cherono62@outlook.com,23.0,Kilifi,Kilifi,Coast,2025-02-25,Regular,No
C00160,Kelvin,Kilonzo,0722923827,kelvin.kilonzo63@gmail.com,27.0,Nakuru,Nakuru,Rift Valley,2024-02-26,Loyal,YES
C00161,Kevin,Muriithi,+254745972879,kevin.muriithi64@gmail.com,38.0,Murang'a,Murang'a,Central,2023-10-02,VIP,No
C00162,Njeri,Kamau,0722 458 963,njeri.kamau65@outlook.com,38.0,Kakamega,Kakamega,Western,2022-08-08,New,yes
C00163,David,Kamau,254110761081,david.kamau66@gmail.com,20.0,Thika,Kiambu,Nairobi Metro,2025-04-20,New,No
C00164,Yusuf,Auma,0700363827 ,yusuf.auma67@gmail.com,28.0,Karen,Nairobi,Nairobi Metro,2022-02-13,Loyal,No
C00165,Daniel,Maina,0745900491,daniel.maina68@outlook.com,32.0,Mombasa,Mombasa,Coast,2022-11-29,New,NO
C00166,Wanjiru,Nyambura,+254701153693,wanjiru.nyambura69@gmail.com,35.0,Embu,Embu,Eastern,2023-12-10,Loyal,No
C00167,Achieng,Kamau,0768 960 074,achieng.kamau70@gmail.com,43.0,Kericho,Kericho,Rift Valley,2024-07-19,Loyal,YES
C00168,Kerubo,Hassan,254701754717,kerubo.hassan71@outlook.com,31.0,Eldoret,Uasin Gishu,Rift Valley,2023-04-23,New,No
C00169,Paul,Achieng,0759812849 ,paul.achieng72@gmail.com,27.0,Ruiru,Kiambu,Nairobi Metro,2023-12-29,Regular,No
C00170,Hassan,Chebet,0790920780,hassan.chebet73@gmail.com,23.0,Kilifi,Kilifi,Coast,2024-10-25,Regular,Yes
C00171,Grace,Mutua,+254759784269,grace.mutua74@outlook.com,32.0,Westlands,Nairobi,Nairobi Metro,2025-04-05,New,Yes
C00172,Omar,Onyango,0759 704 663,omar.onyango75@gmail.com,29.0,Machakos,Machakos,Eastern,2023-04-20,Loyal,YES
C00173,Joseph,Nyambura,254759198871,joseph.nyambura76@gmail.com,32.0,Kakamega,Kakamega,Western,2023-10-12,New,No
C00174,Mercy,Nyambura,0110654982 ,mercy.nyambura77@outlook.com,47.0,Migori,Migori,Nyanza,2024-12-14,New,No
C00175,Michael,Maina,0759895381,michael.maina78@gmail.com,46.0,Murang'a,Murang'a,Central,2022-06-10,Regular,Yes
C00176,Faith,Muriithi,+254722469019,faith.muriithi79@gmail.com,40.0,Meru,Meru,Eastern,2023-11-16,Regular,No
C00177,Adhiambo,Kones,0722 368 659,adhiambo.kones80@outlook.com,47.0,Kericho,Kericho,Rift Valley,2024-08-15,Regular,No
C00178,Brian,Adhiambo,254710115314,brian.adhiambo81@gmail.com,28.0,Kisii,Kisii,Nyanza,2023-07-03,Loyal,Yes
C00179,Muthoni,Odhiambo,0701540390 ,muthoni.odhiambo82@gmail.com,48.0,Kericho,Kericho,Rift Valley,2023-11-11,Regular,Y 
C00180,Adhiambo,Muriithi,0768743517,adhiambo.muriithi83@outlook.com,36.0,Kisii,Kisii,Nyanza,2024-04-13,Regular,Yes
C00181,Habiba,Mutua,+254710936057,habiba.mutua84@gmail.com,22.0,Karen,Nairobi,Nairobi Metro,2023-10-04,Regular,y
C00182,Brian,Wanjiru,0790 363 934,brian.wanjiru85@gmail.com,55.0,Thika,Kiambu,Nairobi Metro,2024-01-04,Loyal,Yes
C00183,Njeri,Kones,254701268563,njeri.kones86@outlook.com,37.0,Machakos,Machakos,Eastern,2024-03-15,Loyal,Yes
C00184,Felix,Muriithi,0790685238 ,felix.muriithi87@gmail.com,34.0,Bungoma,Bungoma,Western,2024-07-15,VIP,No
C00185,James,Chebet,0745438880,james.chebet88@gmail.com,31.0,Murang'a,Murang'a,Central,2024-05-15,Loyal,Yes
C00186,Joseph,Mutua,+254790737242,joseph.mutua89@outlook.com,31.0,Ol Kalou,Nyandarua,Central,2024-10-24,New,No
C00187,James,Kiptoo,0701 181 530,james.kiptoo90@gmail.com,36.0,Kakamega,Kakamega,Western,2022-09-19,New,n
C00188,Stephen,Abdullahi,254722389288,stephen.abdullahi91@gmail.com,48.0,Murang'a,Murang'a,Central,2022-11-03,Regular, No
C00189,Nyokabi,Kariuki,0700531250 ,nyokabi.kariuki92@outlook.com,34.0,Murang'a,Murang'a,Central,2024-01-20,Regular,No
C00190,Collins,Mwenda,0700517716,collins.mwenda93@gmail.com,23.0,Mombasa,Mombasa,Coast,2022-05-23,Loyal,Yes
C00191,Anthony,Sang,+254701686040,anthony.sang94@gmail.com,44.0,Thika,Kiambu,Nairobi Metro,2023-12-07,Regular,YES
C00192,Zainab,Mutua,0722 794 655,zainab.mutua95@outlook.com,27.0,Machakos,Machakos,Eastern,2022-03-19,New,Yes
C00193,Wanjiku,Kones,254110682709,wanjiku.kones96@gmail.com,35.0,Nakuru,Nakuru,Rift Valley,2023-02-23,Regular,No
C00194,John,Hassan,0710710429 ,john.hassan0@gmail.com,41.0,Kisii,Kisii,Nyanza,2023-02-17,Regular,yes
C00195,Felix,Auma,0700664503,felix.auma1@outlook.com,39.0,Busia,Busia,Western,2024-02-29,Regular,yes
C00196,Adhiambo,Ali,+254710297970,adhiambo.ali2@gmail.com,50.0,Nairobi CBD,Nairobi,Nairobi Metro,2024-12-28,Regular,No
C00197,Stephen,Kilonzo,0701 382 865,stephen.kilonzo3@gmail.com,48.0,Murang'a,Murang'a,Central,2025-03-07,Regular,Yes
C00198,Njeri,Njuguna,254722902458,njeri.njuguna4@outlook.com,42.0,Busia,Busia,Western,2022-12-05,New,Yes
C00199,Kevin,Kamau,0745418519 ,kevin.kamau5@gmail.com,38.0,Karen,Nairobi,Nairobi Metro,2022-06-03,Regular,No
